,close,high,low,open,time,volumefrom,volumeto,timestamp
1481,493501,553510,464593,535749,1542672000,3015.41,1539455369.55,2018-11-20 09:00:00
1482,514778,529398,478510,493501,1542758400,2389.7,1204290417.8,2018-11-21 09:00:00
1483,483497,519998,480350,514778,1542844800,1685.97,853225243.21,2018-11-22 09:00:00
1484,485578,493326,464196,483497,1542931200,1872.31,899913487.96,2018-11-23 09:00:00
1485,428039,496878,416779,485578,1543017600,1908.98,887470645.6,2018-11-24 09:00:00
1486,445762,465446,391264,428039,1543104000,4610.28,1960544615.21,2018-11-25 09:00:00
1487,425495,464995,404751,445762,1543190400,3057.96,1346172192.27,2018-11-26 09:00:00
1488,430636,436930,408184,425495,1543276800,2249.61,950880765.72,2018-11-27 09:00:00
1489,481043,496000,430591,430636,1543363200,2993.29,1389631537.23,2018-11-28 09:00:00
1490,482501,500384,464202,481043,1543449600,1848.33,888683155.78,2018-11-29 09:00:00
1491,452134,489749,440775,482501,1543536000,2238.24,1035646840.4,2018-11-30 09:00:00
1492,471783,486251,444500,452134,1543622400,1798.16,837652542.21,2018-12-01 09:00:00
1493,467050,485468,458890,471783,1543708800,2254.11,1059638331.65,2018-12-02 09:00:00
1494,436821,469000,428460,467050,1543795200,2042.99,917215917.28,2018-12-03 09:00:00
1495,441244,455729,424170,436821,1543881600,2640.4,1168037841.23,2018-12-04 09:00:00
1496,419693,442910,416695,441244,1543968000,3116.16,1344175368.61,2018-12-05 09:00:00
1497,388285,434177,387016,419693,1544054400,3756.2,1569860605.72,2018-12-06 09:00:00
1498,381513,400444,363442,388285,1544140800,3566.73,1356211623.2,2018-12-07 09:00:00
1499,384573,393704,367204,381513,1544227200,2386.25,912695251.55,2018-12-08 09:00:00
1500,398723,411810,381797,384573,1544313600,2302.51,903225337.92,2018-12-09 09:00:00
1501,387394,405524,381226,398723,1544400000,2378.51,934347931.75,2018-12-10 09:00:00
1502,380454,388929,374500,387394,1544486400,2400.05,916317093.8,2018-12-11 09:00:00
1503,388760,395158,378067,380454,1544572800,3001.3,1157215880.9,2018-12-12 09:00:00
1504,371309,390000,367000,388760,1544659200,3068.65,1172298585.74,2018-12-13 09:00:00
1505,362324,374831,355751,371309,1544745600,2982.86,1096202400.53,2018-12-14 09:00:00
